Age,Gender,Marital_Status,Family_Members,Education,Occupation,Job_Title,Income,Current_Product,Current_Product_Type,Current_Coverage,New_Product_Type,New_Coverage,Rating,target
18.0,M,Single,3.0,NE,SPT,DD,1.0,No,NO,0.0,INV,15000000.0,Cold,1
46.0,M,Married,5.0,PD,SE,FH,2.508402192,Yes,TLE,50000.0,ANS,2000000.0,Cold,0
23.0,M,Married,2.0,BD,SPT,PG,9.0,No,NO,0.0,ANS,1000000.0,Hot,1
20.0,M,Single,6.0,NE,SPT,OM,2.41683848,No,NO,0.0,END,1000000.0,Warm,1
48.0,M,Married,4.0,BD,SPT,PG,9.636769324,Yes,ANS,15000000.0,INV,15000000.0,Warm,0
45.0,M,Single,6.0,MD,SPT,PR,6.495243262,Yes,ANS,15000000.0,TLE,3000000.0,Warm,1
55.0,F,Married,4.0,BD,SE,FH,3.0,Yes,TLE,15000000.0,ANS,2000000.0,Cold,0
58.0,M,Married,9.0,BD,SPT,PG,10.0,Yes,ANS,2000000.0,INV,2000000.0,Warm,1
20.0,M,Single,7.0,UHS,SPT,OM,2.0,Yes,PMT,1000000.0,END,2000000.0,Warm,0
50.0,M,Divorced,5.0,LHS,SFT,DD,1.448822773,Yes,TLE,15000000.0,PMT,15000000.0,Cold,1
55.0,M,Married,2.0,UHS,SPT,DD,2.0,Yes,TLE,2000000.0,PMT,1000000.0,Cold,0
56.0,F,Married,9.0,MD,SPT,BA,7.98479198,Yes,INV,2000000.0,TLE,5000000.0,Warm,1
35.0,F,Divorced,6.0,PD,SE,FH,1.682657568,Yes,TLE,15000000.0,ANS,15000000.0,Cold,0
34.0,M,Married,6.0,PD,SPT,BA,6.55639268,Yes,END,2000000.0,INV,4000000.0,Hot,1
43.0,F,Single,4.0,MD,SE,FH,2.595641035,No,NO,0.0,TLE,15000000.0,Cold,0
18.0,F,Married,2.0,LHS,SFT,PA,4.0,No,NO,0.0,INV,15000000.0,Hot,1
35.0,F,Married,9.0,MD,SPT,PR,5.55275788,Yes,INV,4000000.0,END,1000000.0,Hot,1
20.0,F,Single,3.0,NE,SPT,CB,1.089469746,No,NO,0.0,END,15000000.0,Cold,0
36.0,F,Divorced,4.0,UHS,SPT,DD,1.23052297,Yes,PMT,50000.0,TLE,1000000.0,Cold,0
27.0,F,Single,5.0,UHS,SPT,DD,1.497709854,Yes,ANS,15000000.0,INV,1000000.0,Cold,0
31.0,M,Married,4.0,PD,SPT,PR,6.53836369,Yes,INV,2000000.0,END,1000000.0,Hot,1
34.0,M,Divorced,8.0,BD,SPT,RR,9.340534756,Yes,END,4000000.0,INV,3000000.0,Hot,1
42.0,M,Divorced,6.0,BD,SPT,PG,9.74279519,No,NO,0.0,INV,15000000.0,Warm,0
50.0,M,Single,4.0,BD,SE,FH,2.593384952,No,NO,0.0,ANS,15000000.0,Cold,0
19.0,M,Single,7.0,LHS,SFT,DD,1.0,Yes,ANS,50000.0,PMT,15000000.0,Cold,0
42.0,M,Single,3.0,BD,SPT,PG,9.610542405,No,NO,0.0,INV,15000000.0,Warm,1
34.0,F,Divorced,2.0,PD,SE,FH,2.358499574,Yes,END,1000000.0,INV,2000000.0,Cold,0
43.0,F,Single,6.0,LHS,SFT,DD,1.582838826,Yes,PMT,1000000.0,TLE,15000000.0,Cold,0
26.0,M,Divorced,1.0,BD,SE,FH,1.5,No,NO,0.0,INV,2000000.0,Cold,0
26.0,M,Single,2.0,MD,SPT,PR,5.615962467,Yes,END,4000000.0,INV,4000000.0,Hot,1
58.0,M,Single,1.0,BD,SPT,BA,6.405606527,Yes,ANS,2000000.0,TLE,4000000.0,Warm,0
51.0,M,Married,5.0,BD,SPT,PR,6.403229238,No,NO,0.0,TLE,4000000.0,Warm,1
53.0,F,Divorced,4.0,PD,SPT,RR,9.970383266,Yes,ANS,15000000.0,INV,4000000.0,Warm,0
35.0,F,Married,4.0,BD,SE,FH,2.384211533,Yes,END,15000000.0,INV,15000000.0,Cold,0
26.0,F,Married,7.0,PD,SPT,BA,5.572474445,Yes,END,15000000.0,INV,5000000.0,Hot,0
24.0,M,Married,2.0,BD,SE,FH,1.976503648,No,NO,0.0,ANS,1000000.0,Cold,0
42.0,M,Married,3.0,BD,SPT,PG,9.728681474,Yes,ANS,2000000.0,INV,1000000.0,Warm,1
27.0,F,Single,1.0,NE,SPT,DD,1.172773736,No,NO,0.0,INV,15000000.0,Cold,0
58.0,M,Divorced,7.0,UHS,SPT,OC,6.826171382,Yes,ANS,1000000.0,TLE,2000000.0,Warm,1
